avtor,naslov,ocena_cista
Ruth Rendell,2,3.8150000000000004
Saki,2,3.445
Salman Rushdie,3,3.85
Sam Selvon,1,3.7
Samuel Beckett,2,3.95
Samuel Butler,2,3.445
Samuel Johnson,1,3.46
Samuel R. Delany,1,3.55
Samuel Richardson,1,3.4
Sara Paretsky(Goodreads Author),2,3.9399999999999995
Sara Seale,1,2.9
Sarah Waters,3,3.8266666666666667
Saul Bellow,4,3.785
Sebastian Barry,1,4.14
Sebastian Faulks,1,4.11
Shirley Hazzard,1,4.02
Shirley Jackson,1,3.81
Shūsaku Endō,1,4.1
Simon Raven,1,4.3
Simone de Beauvoir,1,4.2
Sinclair Lewis,3,3.83
Spike Milligan,1,3.7
Stan Barstow,1,4.09
Stanisław Lem,1,3.98
Stella Gibbons,1,3.88
Stendhal,2,3.825
Stephen  King(Goodreads Author),3,4.1499999999999995
Stephen Baxter,1,3.96
Stephen Crane,1,3.3
Stevie Smith,1,3.54
Sue Townsend,1,3.88
Susanna Clarke,1,3.88
Sybille Bedford,1,3.64
Sylvia Plath,1,4.04
Sylvia Townsend Warner,1,3.68
T.H. White,1,3.88
T.W. Holderness,1,2.75
Terry Pratchett,1,4.15
Theodor Fontane,1,3.28
Theodore Dreiser,2,3.875
Thomas  Harris,2,3.845
Thomas Bernhard,1,4.31
Thomas Hardy,5,3.886
Thomas Hughes,1,3.45
Thomas Keneally,2,4.215
Thomas Love Peacock,2,3.41
Thomas M. Disch,1,3.73
Thomas Mann,4,3.985
Thomas Pynchon,4,3.855
Thorne Smith,1,3.74
Tim O'Brien,1,4.15
Tobias Smollett,4,3.42
Tom Sharpe,2,3.87
Tom Wolfe,1,3.93
Toni Morrison,3,4.096666666666667
Tony Hillerman,1,4.06
Truman Capote,1,3.85
Umberto Eco,2,4.025
Upton Sinclair,1,3.78
Ursula K. Le Guin,4,4.17
V.S. Naipaul,2,3.79
Vasily Grossman,1,4.46
Vassilis Vassilikos,1,4.02
Victor Hugo,1,4.22
Victor Pelevin,1,3.83
Victor Serge,1,4.12
Vikram Seth,1,4.11
Virginia Woolf,3,3.8166666666666664
Vladimir Nabokov,4,4.0075
Voltaire,1,3.76
W. Somerset Maugham,2,3.9699999999999998
W.E. Bowman,1,3.75
W.G. Sebald,2,4.1
W.R. Burnett,1,3.92
Walker Percy,1,3.64
Walter  Scott,1,3.77
Walter Greenwood,1,3.93
Walter M. Miller Jr.,1,3.99
Walter Mosley,1,3.86
Wilfrid Sheed,1,3.43
Wilkie Collins,2,3.965
Will Self,2,3.615
