naslov,avtor,ocena_raw,povezava
Our Man in Havana,Graham Greene,"3.94 avg rating — 42,819 ratings",https://www.goodreads.com/book/show/133394.Our_Man_in_Havana
"Foundation (Foundation, #1)",Isaac Asimov,"4.17 avg rating — 611,298 ratings",https://www.goodreads.com/book/show/29579.Foundation
The Turn of the Screw,Henry James,"3.38 avg rating — 186,264 ratings",https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw
The Tin Drum,Günter Grass,"3.95 avg rating — 47,468 ratings",https://www.goodreads.com/book/show/35743.The_Tin_Drum
"The Giver (Giver, #1)",Lois Lowry(Goodreads Author),"4.12 avg rating — 2,883,607 ratings",https://www.goodreads.com/book/show/3636.The_Giver
Portnoy’s Complaint,Philip Roth,"3.70 avg rating — 75,374 ratings",https://www.goodreads.com/book/show/43945.Portnoy_s_Complaint
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"3.78 avg rating — 249,455 ratings",https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance
The House of Mirth,Edith Wharton,"3.98 avg rating — 108,584 ratings",https://www.goodreads.com/book/show/17728.The_House_of_Mirth
The Wasp Factory,Iain Banks,"3.76 avg rating — 114,451 ratings",https://www.goodreads.com/book/show/827610.The_Wasp_Factory
The Magic Mountain,Thomas Mann,"4.13 avg rating — 64,971 ratings",https://www.goodreads.com/book/show/88077.The_Magic_Mountain
"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,"4.32 avg rating — 32,783 ratings",https://www.goodreads.com/book/show/9858081-the-code-of-the-woosters
Death in Venice and Other Tales,Thomas Mann,"3.92 avg rating — 16,271 ratings",https://www.goodreads.com/book/show/53064.Death_in_Venice_and_Other_Tales
"The Commitments (The Barrytown Trilogy, #1; Jimmy Rabbitte, #1)",Roddy Doyle,"3.92 avg rating — 17,697 ratings",https://www.goodreads.com/book/show/269795.The_Commitments
The Haunting of Hill House,Shirley Jackson,"3.81 avg rating — 416,973 ratings",https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
We,Yevgeny Zamyatin,"3.87 avg rating — 118,109 ratings",https://www.goodreads.com/book/show/76171.We
The Magus,John Fowles,"4.05 avg rating — 65,768 ratings",https://www.goodreads.com/book/show/16286.The_Magus
A Connecticut Yankee in King Arthur's Court,Mark Twain,"3.78 avg rating — 109,328 ratings",https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court
Suite Francaise,Irène Némirovsky,"3.86 avg rating — 79,162 ratings",https://www.goodreads.com/book/show/40086.Suite_Francaise
Fingersmith,Sarah Waters,"4.02 avg rating — 122,863 ratings",https://www.goodreads.com/book/show/8913370-fingersmith
High Fidelity,Nick Hornby,"3.89 avg rating — 218,776 ratings",https://www.goodreads.com/book/show/285092.High_Fidelity
The Thorn Birds,Colleen McCullough,"4.25 avg rating — 369,165 ratings",https://www.goodreads.com/book/show/830794.The_Thorn_Birds
A Fine Balance,Rohinton Mistry,"4.38 avg rating — 163,714 ratings",https://www.goodreads.com/book/show/5211.A_Fine_Balance
The Mayor of Casterbridge,Thomas Hardy,"3.87 avg rating — 67,204 ratings",https://www.goodreads.com/book/show/56759.The_Mayor_of_Casterbridge
The Shipping News,Annie Proulx,"3.88 avg rating — 154,687 ratings",https://www.goodreads.com/book/show/7354.The_Shipping_News
"Peter Pan (Peter Pan, #2)",J.M. Barrie,"4.03 avg rating — 378,202 ratings",https://www.goodreads.com/book/show/34268.Peter_Pan
Oliver Twist,Charles Dickens,"3.88 avg rating — 435,679 ratings",https://www.goodreads.com/book/show/18254.Oliver_Twist
American Psycho,Bret Easton Ellis,"3.80 avg rating — 377,698 ratings",https://www.goodreads.com/book/show/28676.American_Psycho
Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.92 avg rating — 246,266 ratings",https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
House of Leaves,Mark Z. Danielewski(Goodreads Author),"4.09 avg rating — 210,491 ratings",https://www.goodreads.com/book/show/24800.House_of_Leaves
Fatherland,Robert   Harris(Goodreads Author),"4.03 avg rating — 58,871 ratings",https://www.goodreads.com/book/show/56842.Fatherland
"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,"4.28 avg rating — 22,148 ratings",https://www.goodreads.com/book/show/1170158.The_Earthsea_Trilogy
"Regeneration (Regeneration, #1)",Pat Barker,"4.01 avg rating — 34,644 ratings",https://www.goodreads.com/book/show/5872.Regeneration
Tintin in Tibet (Tintin #20),Hergé,"4.25 avg rating — 19,928 ratings",https://www.goodreads.com/book/show/87425.Tintin_in_Tibet
